host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399452551,2086899,-1.10,0.24,-0.17,182.98,-24.11,-46.51
1777399452551,2086909,-1.06,0.20,-0.27,184.02,-25.76,-47.42
1777399452551,2086919,-0.99,0.23,-0.33,185.97,-22.95,-50.23
1777399452551,2086929,-0.87,0.14,-0.42,191.41,-21.06,-50.84
1777399452551,2086939,-0.74,0.05,-0.49,200.99,-16.30,-51.57
1777399452551,2086949,-0.63,-0.01,-0.45,208.68,-7.57,-53.47
1777399452551,2086959,-0.52,-0.10,-0.48,205.63,-2.56,-54.63
1777399452551,2086969,-0.50,-0.13,-0.55,201.97,-4.88,-50.66
1777399452552,2086979,-0.53,-0.15,-0.64,204.77,-8.30,-42.54
1777399452552,2086989,-0.55,-0.13,-0.74,206.79,-7.45,-38.94
1777399452552,2086999,-0.58,-0.13,-0.77,211.67,-2.44,-35.89
1777399452552,2087009,-0.68,-0.17,-0.70,222.60,1.71,-31.98
1777399452552,2087019,-0.76,-0.19,-0.53,229.43,0.24,-34.42
1777399452552,2087029,-0.78,-0.25,-0.45,225.22,-13.06,-40.71
1777399452552,2087039,-0.78,-0.32,-0.43,215.70,-31.68,-47.67
1777399452552,2087049,-0.75,-0.42,-0.52,206.54,-49.13,-54.69
1777399452553,2087059,-0.68,-0.47,-0.60,202.64,-57.50,-60.67
1777399452553,2087069,-0.63,-0.50,-0.60,203.55,-55.42,-60.24
1777399452553,2087089,-0.70,-0.58,-0.47,184.63,-22.95,-40.22
1777399452553,2087109,-0.81,-0.77,-0.23,163.02,-26.06,-35.77
1777399452553,2087129,-0.90,-0.78,-0.25,138.43,-63.17,-50.17
1777399452553,2087149,-0.71,-0.70,-0.44,114.81,-77.27,-59.02
1777399452553,2087159,-0.64,-0.65,-0.44,106.63,-60.36,-50.66
1777399452553,2087169,-0.64,-0.63,-0.39,96.25,-34.73,-34.61
1777399452554,2087179,-0.65,-0.64,-0.34,81.48,-9.28,-17.27
1777399452554,2087189,-0.68,-0.65,-0.32,66.28,11.23,-3.11
1777399452554,2087199,-0.74,-0.67,-0.28,52.55,25.15,6.04
1777399452554,2087209,-0.82,-0.70,-0.22,41.93,27.22,8.61
1777399452554,2087219,-0.86,-0.71,-0.20,34.73,16.17,4.94
1777399452554,2087229,-0.86,-0.69,-0.23,30.21,-0.73,-2.20
1777399452554,2087239,-0.84,-0.64,-0.26,27.59,-13.18,-10.01
1777399452554,2087249,-0.81,-0.59,-0.30,24.60,-17.40,-15.26
1777399452555,2087259,-0.78,-0.54,-0.34,21.12,-14.65,-14.28
1777399452555,2087269,-0.82,-0.51,-0.35,18.43,-5.43,-7.63
1777399452555,2087279,-0.85,-0.50,-0.34,14.89,9.70,-0.43
1777399452555,2087289,-0.86,-0.50,-0.36,9.46,24.23,4.94
1777399452555,2087299,-0.86,-0.53,-0.35,6.53,34.12,8.91
1777399452555,2087309,-0.87,-0.54,-0.30,6.53,35.34,10.01
1777399452555,2087319,-0.87,-0.54,-0.29,6.29,25.21,5.86
1777399452556,2087329,-0.84,-0.54,-0.33,7.93,9.58,-1.53
1777399452556,2087339,-0.81,-0.52,-0.37,12.76,-1.65,-9.89
1777399452556,2087349,-0.78,-0.50,-0.39,18.68,-5.55,-16.97
1777399452556,2087359,-0.73,-0.48,-0.40,23.38,-5.37,-20.94
1777399452556,2087369,-0.70,-0.47,-0.41,26.49,-2.62,-19.96
1777399452556,2087379,-0.71,-0.47,-0.38,29.24,3.11,-16.36
1777399452556,2087389,-0.73,-0.47,-0.33,28.75,8.30,-12.27
1777399452556,2087399,-0.74,-0.49,-0.33,23.99,9.52,-8.79
1777399452557,2087409,-0.73,-0.52,-0.35,19.04,8.48,-7.02
1777399452557,2087419,-0.71,-0.55,-0.36,16.11,6.96,-7.75
1777399452557,2087439,-0.72,-0.57,-0.36,19.96,-10.01,-12.45
