host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399792776,2425595,-0.67,-0.54,-0.47,-2.75,-5.19,-6.10
1777399792776,2425605,-0.67,-0.54,-0.47,-2.44,-4.27,-5.74
1777399792777,2425615,-0.67,-0.54,-0.48,-1.65,-4.09,-5.80
1777399792777,2425625,-0.67,-0.54,-0.49,-0.61,-4.52,-5.98
1777399792777,2425635,-0.67,-0.55,-0.49,0.24,-4.88,-5.92
1777399792778,2425645,-0.67,-0.54,-0.49,0.79,-5.19,-6.16
1777399792778,2425655,-0.67,-0.54,-0.49,1.04,-4.94,-6.41
1777399792779,2425665,-0.67,-0.54,-0.49,1.46,-4.09,-5.68
1777399792779,2425675,-0.67,-0.54,-0.50,1.59,-3.17,-4.70
1777399792780,2425695,-0.68,-0.55,-0.50,2.87,-2.14,-6.35
1777399792780,2425715,-0.66,-0.56,-0.50,4.46,-2.38,-7.45
1777399792781,2425735,-0.65,-0.56,-0.49,4.82,-2.81,-7.26
1777399792781,2425745,-0.64,-0.57,-0.49,4.76,-2.75,-7.08
1777399792781,2425755,-0.64,-0.57,-0.49,5.00,-2.44,-7.39
1777399792781,2425765,-0.64,-0.58,-0.48,5.07,-2.50,-7.69
1777399792782,2425775,-0.63,-0.58,-0.48,5.25,-2.75,-7.57
1777399792782,2425785,-0.63,-0.58,-0.47,5.19,-3.05,-7.02
1777399792782,2425795,-0.63,-0.59,-0.47,5.00,-3.36,-6.53
1777399792783,2425805,-0.64,-0.58,-0.47,4.58,-3.36,-6.41
1777399792783,2425815,-0.64,-0.58,-0.47,4.03,-2.99,-6.41
1777399792783,2425825,-0.64,-0.58,-0.47,3.48,-2.62,-6.29
1777399792784,2425835,-0.64,-0.59,-0.48,2.93,-2.38,-6.65
1777399792784,2425845,-0.64,-0.59,-0.47,2.75,-2.26,-7.51
1777399792784,2425855,-0.63,-0.58,-0.47,2.62,-2.69,-7.75
1777399792784,2425865,-0.63,-0.58,-0.48,2.32,-3.23,-8.18
1777399792784,2425875,-0.62,-0.58,-0.49,2.38,-3.48,-8.18
1777399792785,2425885,-0.62,-0.57,-0.48,2.81,-3.30,-7.93
1777399792785,2425895,-0.62,-0.57,-0.48,2.69,-3.30,-7.75
1777399792785,2425905,-0.62,-0.57,-0.48,2.32,-3.54,-7.51
1777399792786,2425915,-0.63,-0.57,-0.48,2.44,-3.97,-7.02
1777399792786,2425925,-0.63,-0.57,-0.48,2.99,-4.09,-6.90
1777399792786,2425935,-0.63,-0.57,-0.48,3.17,-4.15,-7.26
1777399792786,2425945,-0.63,-0.57,-0.48,3.23,-4.39,-7.45
1777399792787,2425955,-0.63,-0.57,-0.48,3.23,-4.64,-7.45
1777399792787,2425965,-0.63,-0.57,-0.49,3.17,-4.70,-7.20
1777399792787,2425975,-0.62,-0.56,-0.49,3.36,-4.46,-6.41
1777399792787,2425985,-0.62,-0.56,-0.49,3.36,-4.39,-5.55
1777399792788,2425995,-0.62,-0.56,-0.49,3.42,-4.03,-5.49
1777399792788,2426005,-0.62,-0.57,-0.49,3.85,-3.78,-5.37
1777399792788,2426015,-0.62,-0.57,-0.49,4.21,-4.03,-5.25
1777399792788,2426035,-0.62,-0.57,-0.48,5.37,-6.90,-4.39
1777399792788,2426055,-0.63,-0.57,-0.47,5.68,-6.71,-4.15
1777399792789,2426075,-0.64,-0.57,-0.47,6.10,-4.88,-2.93
1777399792789,2426095,-0.65,-0.58,-0.46,5.31,-4.70,-3.66
1777399792789,2426105,-0.64,-0.57,-0.46,5.07,-5.43,-3.48
1777399792789,2426115,-0.64,-0.57,-0.47,5.07,-5.98,-2.99
1777399792790,2426125,-0.64,-0.57,-0.47,5.07,-6.04,-3.11
1777399792790,2426135,-0.64,-0.57,-0.46,5.19,-6.16,-3.42
1777399792790,2426145,-0.64,-0.56,-0.46,5.25,-6.41,-3.30
1777399792790,2426155,-0.64,-0.56,-0.46,5.07,-6.77,-2.69
1777399792791,2426165,-0.64,-0.56,-0.47,4.76,-6.90,-2.08
1777399792791,2426175,-0.64,-0.57,-0.47,4.70,-6.47,-1.95
1777399792791,2426185,-0.64,-0.57,-0.47,4.76,-6.04,-1.83
1777399792791,2426195,-0.64,-0.57,-0.46,4.82,-6.16,-1.16
1777399792791,2426205,-0.65,-0.57,-0.47,4.82,-6.35,-0.61
1777399792792,2426215,-0.64,-0.57,-0.46,4.88,-6.10,-0.85
1777399792792,2426225,-0.64,-0.56,-0.47,4.46,-5.68,-1.46
1777399792792,2426235,-0.64,-0.55,-0.46,4.27,-5.00,-1.40
1777399792792,2426245,-0.66,-0.55,-0.46,4.39,-4.88,-0.49
1777399792793,2426255,-0.66,-0.54,-0.46,4.46,-4.94,-0.43
1777399792793,2426265,-0.66,-0.54,-0.47,4.46,-5.07,-0.73
1777399792793,2426275,-0.66,-0.53,-0.47,4.82,-5.07,-0.61
1777399792793,2426285,-0.66,-0.54,-0.48,5.55,-4.94,-0.18
1777399792793,2426295,-0.66,-0.54,-0.48,6.35,-4.76,-0.55
1777399792794,2426305,-0.65,-0.55,-0.48,7.26,-5.25,-1.46
1777399792794,2426315,-0.65,-0.55,-0.48,8.30,-6.35,-1.95
1777399792794,2426325,-0.65,-0.55,-0.48,9.40,-7.39,-1.71
1777399792794,2426335,-0.64,-0.55,-0.47,10.25,-8.36,-1.53
1777399792794,2426345,-0.64,-0.55,-0.47,10.44,-8.91,-1.89
1777399792795,2426355,-0.64,-0.55,-0.47,10.74,-8.79,-2.32
1777399792795,2426365,-0.64,-0.55,-0.46,10.93,-8.30,-1.71
1777399792795,2426385,-0.64,-0.56,-0.45,10.19,-10.56,-1.53
1777399792795,2426405,-0.63,-0.57,-0.47,10.38,-11.41,-2.69
1777399792795,2426425,-0.62,-0.57,-0.46,10.99,-10.13,-1.34
1777399792796,2426445,-0.62,-0.58,-0.45,10.56,-10.99,-0.73
1777399792796,2426455,-0.61,-0.59,-0.45,10.68,-11.66,-0.67
1777399792796,2426465,-0.62,-0.59,-0.44,10.80,-12.21,-0.61
1777399792796,2426475,-0.62,-0.60,-0.45,10.93,-12.82,-0.55
1777399792797,2426485,-0.63,-0.60,-0.44,11.05,-12.94,-0.85
1777399792797,2426495,-0.64,-0.61,-0.43,11.11,-13.24,-0.55
1777399792797,2426505,-0.65,-0.61,-0.44,10.99,-13.79,-0.31
1777399792797,2426515,-0.67,-0.61,-0.43,10.86,-14.28,-0.49
1777399792798,2426525,-0.68,-0.61,-0.44,10.93,-14.71,-0.67
1777399792798,2426535,-0.70,-0.61,-0.44,10.99,-14.22,-0.98
1777399792798,2426545,-0.71,-0.60,-0.44,11.35,-13.00,-1.46
1777399792798,2426555,-0.73,-0.60,-0.43,11.84,-11.41,-2.50
1777399792798,2426565,-0.74,-0.59,-0.41,12.15,-10.25,-3.17
1777399792798,2426575,-0.75,-0.59,-0.40,11.96,-9.70,-3.66
1777399792799,2426585,-0.75,-0.58,-0.40,11.47,-9.64,-4.39
1777399792799,2426595,-0.75,-0.58,-0.41,10.93,-9.16,-5.49
1777399792799,2426605,-0.74,-0.58,-0.42,10.50,-7.75,-6.59
1777399792799,2426615,-0.72,-0.58,-0.42,10.31,-5.86,-8.00
1777399792799,2426625,-0.70,-0.58,-0.43,10.25,-4.46,-8.79
1777399792799,2426635,-0.69,-0.58,-0.43,10.19,-4.27,-8.30
1777399792800,2426645,-0.68,-0.58,-0.43,10.13,-5.07,-7.69
1777399792800,2426655,-0.67,-0.58,-0.43,9.95,-6.23,-7.39
1777399792800,2426665,-0.66,-0.58,-0.43,9.83,-7.32,-6.96
1777399792800,2426675,-0.65,-0.58,-0.44,9.58,-7.63,-6.53
1777399792800,2426685,-0.64,-0.58,-0.43,9.34,-7.02,-5.55
1777399792801,2426695,-0.64,-0.58,-0.43,9.03,-6.29,-4.27
1777399792801,2426705,-0.64,-0.58,-0.42,8.42,-5.80,-3.11
1777399792801,2426725,-0.65,-0.59,-0.42,7.45,-5.62,-2.50
1777399792801,2426745,-0.66,-0.60,-0.40,8.48,-7.81,-3.05
1777399792801,2426765,-0.68,-0.60,-0.39,8.42,-8.97,-3.91
1777399792802,2426785,-0.68,-0.60,-0.38,7.75,-9.22,-4.58
1777399792802,2426795,-0.69,-0.60,-0.37,7.63,-8.91,-4.46
1777399792802,2426805,-0.69,-0.60,-0.37,6.90,-8.61,-4.52
1777399792802,2426815,-0.69,-0.61,-0.37,5.98,-8.24,-5.13
1777399792802,2426825,-0.69,-0.60,-0.38,5.68,-8.00,-6.29
1777399792803,2426835,-0.69,-0.60,-0.38,6.04,-8.00,-7.20
1777399792803,2426845,-0.68,-0.60,-0.38,6.71,-7.39,-7.39
1777399792803,2426855,-0.68,-0.60,-0.37,6.84,-6.41,-7.32
1777399792803,2426865,-0.67,-0.60,-0.38,6.35,-5.55,-7.02
1777399792803,2426875,-0.68,-0.60,-0.38,5.98,-5.13,-6.59
1777399792803,2426885,-0.68,-0.60,-0.38,5.86,-5.25,-6.59
1777399792804,2426895,-0.68,-0.60,-0.38,5.98,-5.86,-6.77
1777399792804,2426905,-0.67,-0.60,-0.38,5.92,-6.47,-7.08
1777399792804,2426915,-0.67,-0.60,-0.39,6.10,-6.59,-7.57
1777399792804,2426925,-0.67,-0.61,-0.39,6.90,-5.98,-7.75
1777399792804,2426935,-0.67,-0.61,-0.38,7.87,-5.92,-7.75
1777399792804,2426945,-0.67,-0.61,-0.37,7.75,-6.47,-8.00
1777399792805,2426955,-0.66,-0.61,-0.38,7.20,-7.08,-8.24
1777399792805,2426965,-0.65,-0.61,-0.38,7.02,-7.26,-8.00
1777399792805,2426975,-0.65,-0.61,-0.38,7.14,-6.77,-7.93
1777399792805,2426985,-0.65,-0.62,-0.37,7.45,-6.47,-7.45
1777399792805,2426995,-0.65,-0.62,-0.37,7.32,-6.65,-6.96
1777399792805,2427005,-0.65,-0.63,-0.37,7.26,-6.96,-7.14
1777399792806,2427015,-0.65,-0.63,-0.37,7.57,-7.14,-7.51
1777399792806,2427025,-0.66,-0.64,-0.37,7.93,-7.45,-7.69
1777399792806,2427035,-0.66,-0.64,-0.36,8.00,-7.87,-7.93
1777399792806,2427045,-0.66,-0.64,-0.35,7.81,-8.12,-8.18
1777399792806,2427055,-0.67,-0.65,-0.35,7.57,-8.24,-8.06
