host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399163045,1794173,-0.59,0.51,-0.54,-6.10,-0.31,0.18
1777399163046,1794183,-0.58,0.50,-0.53,-4.70,-3.60,-0.98
1777399163046,1794193,-0.57,0.51,-0.53,-2.01,-6.41,-2.69
1777399163046,1794203,-0.57,0.52,-0.55,1.46,-7.93,-3.48
1777399163046,1794213,-0.57,0.52,-0.57,3.60,-8.30,-4.58
1777399163047,1794223,-0.59,0.50,-0.56,4.82,-7.93,-6.29
1777399163047,1794233,-0.60,0.49,-0.56,6.59,-8.91,-7.57
1777399163047,1794243,-0.61,0.49,-0.59,8.18,-11.11,-8.18
1777399163048,1794253,-0.62,0.50,-0.61,7.69,-12.63,-8.00
1777399163048,1794263,-0.62,0.49,-0.61,5.37,-12.88,-7.20
1777399163048,1794273,-0.62,0.48,-0.61,2.69,-11.96,-5.92
1777399163048,1794283,-0.62,0.49,-0.63,0.31,-9.77,-4.64
1777399163049,1794293,-0.63,0.50,-0.62,-2.44,-5.43,-3.72
1777399163049,1794303,-0.63,0.50,-0.59,-5.25,-1.46,-2.62
1777399163049,1794313,-0.64,0.49,-0.56,-6.41,-0.43,-2.08
1777399163050,1794323,-0.64,0.48,-0.55,-4.94,-2.62,-2.56
1777399163050,1794333,-0.64,0.49,-0.56,-1.83,-6.59,-3.36
1777399163050,1794343,-0.62,0.49,-0.58,0.67,-10.01,-3.91
1777399163051,1794353,-0.60,0.50,-0.61,1.22,-11.78,-4.58
1777399163051,1794363,-0.59,0.51,-0.62,-0.31,-11.84,-5.43
1777399163051,1794373,-0.59,0.51,-0.61,-2.50,-10.50,-5.92
1777399163051,1794383,-0.59,0.50,-0.59,-4.21,-9.22,-6.35
1777399163052,1794393,-0.59,0.50,-0.58,-5.13,-8.54,-7.32
1777399163052,1794403,-0.59,0.50,-0.58,-5.00,-8.36,-8.42
1777399163052,1794413,-0.59,0.50,-0.58,-4.58,-7.75,-9.46
1777399163052,1794433,-0.61,0.50,-0.57,-5.80,-3.60,-11.11
1777399163053,1794453,-0.64,0.49,-0.55,-3.66,-4.46,-9.58
1777399163053,1794473,-0.62,0.50,-0.56,-2.26,-7.57,-9.52
1777399163053,1794493,-0.61,0.51,-0.56,-1.89,-9.64,-9.89
1777399163053,1794503,-0.61,0.51,-0.56,-2.01,-9.83,-10.80
1777399163054,1794513,-0.61,0.50,-0.55,-1.40,-9.83,-11.66
1777399163054,1794523,-0.62,0.50,-0.55,-0.06,-9.34,-12.70
1777399163054,1794533,-0.63,0.50,-0.57,1.28,-8.79,-13.55
1777399163054,1794543,-0.64,0.51,-0.58,0.73,-6.59,-13.98
1777399163055,1794553,-0.66,0.49,-0.57,-1.22,-3.72,-13.98
1777399163055,1794563,-0.67,0.49,-0.55,-2.38,-1.59,-13.92
1777399163055,1794573,-0.68,0.49,-0.55,-2.08,-0.79,-12.70
1777399163055,1794583,-0.68,0.49,-0.54,-0.98,-1.22,-11.05
1777399163056,1794593,-0.68,0.48,-0.54,-0.24,-2.50,-10.13
1777399163056,1794603,-0.67,0.48,-0.55,0.61,-4.27,-9.46
1777399163056,1794613,-0.66,0.48,-0.55,2.01,-5.74,-8.79
