host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777398962371,1595232,-1.01,-0.05,-0.30,279.24,405.09,-25.51
1777398962371,1595242,-1.34,-0.09,0.16,241.58,499.82,-37.17
1777398962372,1595252,-1.42,-0.17,0.38,178.16,515.62,-62.87
1777398962372,1595262,-1.42,-0.20,0.47,114.62,481.26,-92.90
1777398962372,1595272,-1.47,-0.15,0.80,48.40,417.42,-115.05
1777398962372,1595282,-1.39,0.01,1.04,-41.44,305.97,-120.12
1777398962373,1595292,-1.23,0.11,0.75,-152.47,141.60,-102.54
1777398962373,1595302,-1.30,-0.20,0.20,-237.55,-50.48,-60.30
1777398962373,1595312,-1.43,-0.57,-0.47,-252.87,-246.52,-15.26
1777398962374,1595322,-1.39,-0.70,-0.98,-195.92,-411.62,8.67
1777398962374,1595332,-1.21,-0.50,-1.20,-109.74,-510.19,4.15
1777398962374,1595342,-0.94,-0.30,-1.37,-46.51,-536.99,-13.43
1777398962375,1595352,-0.63,-0.29,-1.48,-10.74,-386.23,-35.16
1777398962375,1595372,-0.15,-0.40,-1.42,153.32,-24.48,-32.35
1777398962376,1595392,-0.83,-0.20,-0.23,207.52,324.95,-31.98
1777398962376,1595412,-1.14,-0.26,0.33,115.48,418.46,-54.87
1777398962376,1595432,-1.31,-0.20,0.69,2.32,344.54,-83.98
1777398962377,1595442,-1.24,-0.10,0.65,-72.08,254.15,-87.04
1777398962377,1595452,-1.13,-0.13,0.30,-146.91,138.06,-74.34
1777398962377,1595462,-1.07,-0.31,-0.23,-192.14,14.95,-46.69
1777398962377,1595472,-1.01,-0.57,-0.78,-183.84,-99.79,-13.49
1777398962378,1595482,-0.99,-0.80,-1.09,-116.15,-185.06,13.61
1777398962378,1595492,-0.92,-0.69,-1.06,-20.87,-233.52,19.71
1777398962378,1595502,-0.72,-0.42,-1.02,49.38,-251.40,8.61
1777398962378,1595512,-0.55,-0.35,-1.07,86.43,-232.60,-1.77
1777398962379,1595522,-0.50,-0.36,-0.95,107.42,-164.43,-5.49
1777398962379,1595532,-0.53,-0.31,-0.70,118.90,-71.47,-5.37
1777398962379,1595542,-0.63,-0.29,-0.40,114.75,15.38,-4.15
1777398962380,1595552,-0.74,-0.31,-0.12,91.80,78.19,-4.94
1777398962380,1595562,-0.80,-0.34,0.06,54.14,108.52,-8.85
1777398962380,1595572,-0.86,-0.41,0.19,13.73,107.79,-14.34
1777398962380,1595582,-0.87,-0.38,0.27,-22.09,82.76,-19.41
1777398962381,1595592,-0.84,-0.33,0.24,-57.07,39.98,-20.26
1777398962381,1595602,-0.76,-0.29,0.07,-92.83,-6.65,-14.77
1777398962381,1595612,-0.67,-0.27,-0.19,-121.64,-41.69,-2.44
1777398962381,1595622,-0.62,-0.32,-0.43,-131.10,-59.69,18.37
1777398962382,1595632,-0.66,-0.42,-0.57,-114.62,-65.55,42.36
1777398962382,1595642,-0.76,-0.48,-0.63,-76.48,-67.08,57.56
1777398962382,1595652,-0.85,-0.47,-0.61,-28.14,-70.07,54.93
1777398962382,1595662,-0.86,-0.36,-0.53,17.15,-76.48,37.96
1777398962383,1595672,-0.88,-0.26,-0.40,47.97,-85.45,15.93
1777398962383,1595682,-0.81,-0.17,-0.33,59.69,-96.80,-1.95
1777398962383,1595692,-0.76,-0.14,-0.30,59.63,-107.73,-10.99
1777398962383,1595712,-0.60,-0.19,-0.41,58.23,-103.76,1.83
1777398962383,1595732,-0.65,-0.36,-0.46,93.32,-73.30,11.90
1777398962384,1595752,-0.79,-0.31,-0.33,134.16,-49.80,7.26
1777398962384,1595772,-0.79,-0.48,-0.53,140.62,-35.83,-1.77
1777398962384,1595782,-0.91,-0.36,-0.20,128.23,-14.34,-18.49
1777398962384,1595792,-0.95,-0.38,-0.12,133.48,-7.20,-24.23
1777398962384,1595802,-0.95,-0.36,-0.05,135.19,-7.39,-25.82
1777398962385,1595812,-0.98,-0.33,-0.03,131.10,-9.34,-27.40
1777398962385,1595822,-1.00,-0.34,0.01,125.85,-13.67,-22.40
1777398962385,1595832,-1.12,-0.35,0.35,121.77,-21.48,-13.85
1777398962385,1595842,-1.08,-0.43,0.51,104.98,-45.59,-8.54
1777398962386,1595852,-1.10,-0.36,0.30,88.50,-78.86,-5.25
1777398962386,1595862,-1.15,-0.40,0.09,95.70,-101.93,7.51
1777398962386,1595872,-1.17,-0.53,-0.00,112.55,-114.44,19.17
1777398962386,1595882,-1.16,-0.52,0.01,118.84,-119.57,15.44
1777398962386,1595892,-1.19,-0.41,0.14,114.07,-122.99,3.54
1777398962387,1595902,-1.07,-0.47,0.15,105.77,-129.94,-5.80
1777398962387,1595912,-1.05,-0.41,0.21,96.68,-133.06,-12.88
1777398962387,1595922,-0.98,-0.37,0.24,93.44,-131.04,-12.82
1777398962387,1595932,-0.93,-0.39,0.27,92.41,-126.04,-5.74
1777398962387,1595942,-0.92,-0.46,0.31,90.45,-118.71,3.30
1777398962388,1595952,-0.97,-0.51,0.34,87.40,-113.83,8.00
1777398962388,1595962,-1.08,-0.55,0.45,91.31,-115.97,7.02
1777398962388,1595972,-1.09,-0.58,0.44,110.90,-131.77,-0.61
1777398962388,1595982,-1.09,-0.43,0.49,134.64,-152.47,-14.77
1777398962388,1595992,-0.97,-0.27,0.49,154.72,-175.54,-24.35
1777398962389,1596002,-0.87,-0.15,0.34,154.24,-193.30,-29.91
1777398962389,1596012,-0.70,-0.07,0.20,145.63,-193.73,-26.73
1777398962389,1596022,-0.55,-0.12,0.07,132.32,-175.60,-13.85
1777398962389,1596032,-0.54,-0.22,-0.04,118.90,-142.33,-1.53
1777398962389,1596042,-0.57,-0.29,-0.03,111.69,-70.62,4.39
1777398962390,1596062,-0.64,-0.15,0.17,59.69,-18.92,0.43
1777398962390,1596082,-0.61,0.22,0.00,-42.60,32.41,65.86
1777398962390,1596102,-1.04,-0.74,1.77,-32.59,31.13,112.85
1777398962390,1596122,-0.47,-0.05,0.37,32.90,-133.97,47.24
1777398962390,1596132,-0.50,0.34,0.37,20.81,-120.12,50.05
1777398962391,1596142,-0.60,0.10,0.52,3.17,-89.66,83.31
1777398962391,1596152,-0.75,-0.32,0.67,-12.45,-75.56,102.36
1777398962391,1596162,-0.89,-0.45,0.76,-9.95,-74.34,92.65
1777398962391,1596172,-0.92,-0.41,0.68,26.18,-83.44,69.82
1777398962391,1596182,-0.83,-0.29,0.52,58.29,-88.44,42.54
1777398962392,1596192,-1.08,-0.68,0.86,66.77,-73.12,16.42
1777398962392,1596202,-0.90,-0.23,1.15,74.40,-69.82,-22.46
1777398962392,1596212,-0.53,0.13,0.70,91.37,-87.22,-39.00
1777398962392,1596222,-1.05,-0.03,0.69,76.05,-73.85,-25.63
1777398962392,1596232,-0.67,-0.24,0.68,49.26,-49.68,-21.12
1777398962393,1596242,-0.85,-0.17,0.84,48.71,-37.29,-23.50
1777398962393,1596252,-0.88,-0.09,0.99,53.59,-37.66,-16.91
1777398962393,1596262,-0.87,-0.09,0.92,46.57,-43.88,-8.24
1777398962393,1596272,-0.85,0.06,0.83,32.96,-49.07,4.58
1777398962393,1596282,-0.90,-0.11,0.87,15.38,-45.84,17.46
1777398962394,1596292,-0.91,-0.20,1.04,-26.43,-40.65,18.37
1777398962394,1596302,-0.68,-0.39,0.88,-32.17,-50.17,13.12
1777398962394,1596312,-0.34,-0.45,0.57,6.10,-55.97,3.17
1777398962394,1596322,-0.39,-0.46,0.53,35.77,-50.29,-26.98
1777398962394,1596332,-0.31,0.53,0.76,67.81,-62.26,-64.70
1777398962395,1596342,0.08,0.50,0.60,137.45,-116.46,-27.10
1777398962395,1596352,-0.29,-0.04,0.36,128.11,-152.71,-8.18
1777398962395,1596362,-0.76,-0.28,0.32,96.37,-143.37,-41.32
1777398962395,1596372,-0.81,-0.37,0.76,134.64,-104.61,-34.18
1777398962395,1596382,-0.81,-0.27,0.68,160.89,-134.40,-63.60
1777398962395,1596402,-0.39,-0.08,0.72,170.17,-263.31,-84.90
1777398962396,1596422,-0.32,0.09,1.01,281.07,-288.02,-59.81
1777398962396,1596442,0.08,0.51,0.61,295.41,-274.66,-3.30
1777398962396,1596462,0.25,0.45,0.89,159.00,-164.79,43.33
1777398962396,1596472,0.07,0.44,0.91,70.43,-131.65,39.55
1777398962396,1596482,-0.08,0.30,0.94,4.09,-107.85,33.63
1777398962396,1596492,-0.09,0.32,0.99,-6.71,-93.81,28.87
1777398962397,1596502,-0.04,0.35,0.98,-10.62,-99.30,31.07
1777398962397,1596512,-0.02,0.46,1.00,-17.64,-108.40,37.90
1777398962397,1596522,-0.09,0.34,1.73,-23.74,-116.27,45.96
1777398962397,1596532,-0.05,0.23,1.88,25.94,-165.71,47.36
1777398962397,1596542,0.08,0.33,1.01,166.08,-196.29,53.59
1777398962398,1596552,-0.02,1.11,2.77,168.15,-73.97,36.01
1777398962398,1596562,0.17,0.21,0.74,-10.44,45.04,2.50
1777398962398,1596572,0.05,0.42,0.75,56.64,60.12,-3.60
1777398962398,1596582,0.06,0.57,0.66,15.99,60.36,-12.15
1777398962398,1596592,-0.01,0.46,0.71,-41.87,41.63,0.49
1777398962398,1596602,-0.04,0.35,0.61,-76.66,7.63,8.67
1777398962398,1596612,-0.02,0.41,0.62,-89.90,-24.05,5.49
1777398962399,1596622,0.03,0.37,0.80,-99.79,-45.29,3.60
1777398962399,1596632,0.09,0.22,0.99,-97.66,-69.21,1.89
1777398962399,1596642,0.16,0.33,1.86,-112.73,-67.08,-13.37
1777398962399,1596652,0.19,0.13,1.45,-134.46,-28.02,-26.31
1777398962399,1596662,0.13,0.06,0.78,-52.06,-10.93,-22.95
1777398962399,1596672,0.08,0.17,0.76,13.24,26.37,-23.74
1777398962400,1596682,0.03,0.23,0.86,28.63,49.38,-21.36
1777398962400,1596692,-0.05,0.30,0.84,0.85,48.40,-21.73
1777398962400,1596702,-0.07,0.33,0.82,-55.79,33.69,-21.79
1777398962400,1596712,-0.14,0.33,0.73,-125.43,14.16,-19.35
1777398962400,1596722,-0.11,0.25,0.62,-194.82,-0.31,-13.37
1777398962400,1596732,-0.01,0.26,0.44,-260.62,-4.46,-4.21
1777398962401,1596752,1.36,-1.96,0.91,-75.07,129.70,-3.97
1777398962401,1596772,0.04,0.24,0.68,24.11,14.95,-29.11
1777398962401,1596792,0.02,0.09,1.07,1.22,-5.07,-12.88
1777398962401,1596802,0.01,0.00,0.99,2.14,-4.82,-6.41
1777398962401,1596812,0.01,-0.00,1.01,2.38,-4.76,-4.21
1777398962401,1596822,0.01,-0.01,0.98,2.50,-4.94,-4.15
1777398962401,1596832,0.01,-0.00,1.01,2.69,-4.52,-4.09
1777398962402,1596842,0.01,-0.00,1.00,2.69,-4.39,-4.39
1777398962402,1596852,0.01,-0.00,1.00,2.44,-4.39,-4.76
1777398962402,1596862,0.01,-0.00,1.01,2.50,-4.39,-4.70
1777398962402,1596872,0.01,-0.00,1.00,2.56,-4.52,-4.64
