host_time_ms,arduino_time_ms,ax,ay,az,gx,gy,gz
1777399371332,2005686,-0.52,-0.85,-0.15,70.86,-86.73,-45.10
1777399371333,2005706,-0.33,-0.68,-0.13,59.75,-35.46,-34.91
1777399371333,2005726,-0.31,-0.74,-0.14,38.45,1.89,-11.96
1777399371333,2005736,-0.31,-0.75,-0.15,35.16,5.07,-4.76
1777399371334,2005746,-0.32,-0.81,-0.18,36.38,-2.69,-0.92
1777399371334,2005756,-0.33,-0.88,-0.24,39.92,-16.91,0.31
1777399371334,2005766,-0.36,-0.90,-0.28,48.22,-29.60,2.01
1777399371334,2005776,-0.43,-0.94,-0.25,58.11,-37.72,5.92
1777399371335,2005786,-0.53,-0.94,-0.17,64.88,-44.31,8.73
1777399371335,2005796,-0.60,-0.95,-0.11,65.31,-51.51,8.97
1777399371335,2005806,-0.64,-0.96,-0.08,62.68,-55.66,6.71
1777399371335,2005816,-0.62,-0.98,-0.07,59.88,-52.55,1.77
1777399371336,2005826,-0.57,-1.01,-0.04,57.19,-39.37,-3.30
1777399371336,2005836,-0.53,-1.02,0.02,54.08,-22.03,-3.30
1777399371337,2005846,-0.52,-1.05,0.06,47.79,-10.68,1.16
1777399371337,2005856,-0.54,-1.08,0.02,38.88,-7.39,5.98
1777399371338,2005866,-0.58,-1.11,-0.05,30.94,-6.47,10.93
1777399371338,2005876,-0.64,-1.11,-0.08,26.37,-3.97,13.79
1777399371338,2005886,-0.69,-1.12,-0.12,23.13,-3.05,11.96
1777399371339,2005896,-0.69,-1.11,-0.14,21.91,-3.17,6.47
1777399371339,2005906,-0.68,-1.10,-0.15,23.07,-2.93,1.22
1777399371339,2005916,-0.67,-1.06,-0.10,25.33,-1.04,-2.32
1777399371340,2005926,-0.65,-1.03,-0.05,23.93,-0.31,-5.13
1777399371340,2005936,-0.61,-1.00,-0.03,19.53,-1.10,-7.08
1777399371340,2005946,-0.56,-0.97,-0.01,15.56,-0.61,-7.51
1777399371340,2005956,-0.53,-0.94,0.01,12.88,1.65,-5.37
1777399371341,2005966,-0.53,-0.90,0.05,9.70,3.72,-2.44
1777399371341,2005976,-0.53,-0.87,0.06,5.55,3.36,-0.49
1777399371341,2005986,-0.54,-0.83,0.04,2.44,1.89,-0.18
1777399371341,2005996,-0.55,-0.81,0.01,0.85,1.28,-0.85
1777399371342,2006006,-0.57,-0.80,0.01,0.98,2.26,-1.83
1777399371342,2006026,-0.59,-0.79,0.02,2.44,-8.54,-5.19
1777399371342,2006046,-0.56,-0.77,0.03,4.33,-14.47,-7.45
1777399371342,2006066,-0.49,-0.76,0.01,6.96,-15.93,-8.42
1777399371342,2006086,-0.50,-0.77,-0.00,10.25,-12.39,-6.59
1777399371343,2006096,-0.51,-0.77,-0.01,11.23,-10.25,-5.98
1777399371343,2006106,-0.51,-0.77,-0.03,12.02,-7.63,-5.68
1777399371343,2006116,-0.49,-0.77,-0.04,12.76,-4.70,-4.70
1777399371344,2006126,-0.49,-0.75,-0.03,14.04,-2.01,-3.11
1777399371344,2006136,-0.50,-0.76,-0.01,15.63,-0.43,-1.16
1777399371344,2006146,-0.50,-0.76,0.02,17.76,-1.46,0.24
